Name,Label,levenshtein_real,levenshtein_fictional,fuzzy_real,fuzzy_fictional,double_metaphone_real,double_metaphone_fictional,is_dictionary_word
Jack Crawford,1.0,7,0,61.53846153846154,100.0,0,1,1
Steve Crosetti,1.0,6,0,68.96551724137932,100.0,0,1,0
Charles de Batz de Castelmore d'Artagnan,1.0,26,0,47.27272727272728,100.0,0,1,1
The Daltons,1.0,6,0,64.0,100.0,0,1,1
Larry David,1.0,6,0,58.33333333333333,100.0,0,1,1
Clay Davis,1.0,5,0,63.1578947368421,100.0,0,1,1
Llewyn Davis,1.0,5,0,66.66666666666667,100.0,0,1,0
Serena Dawes,1.0,5,0,66.66666666666667,100.0,0,1,0
Osamu Dazai,1.0,6,0,60.86956521739131,100.0,0,1,0
Phyllis Dietrichson,1.0,10,0,56.25,100.0,0,1,0
Dirty Harry,1.0,5,0,60.86956521739131,100.0,0,1,1
Lindiwe Dikana,1.0,7,0,59.25925925925925,100.0,0,1,0
Tiffany Doggett,1.0,7,0,68.96551724137932,100.0,0,1,1
Francis Dolarhyde,1.0,9,0,58.82352941176471,100.0,0,1,0
Donalbain,1.0,4,0,66.66666666666667,100.0,0,1,0
Milla Donovan,1.0,6,0,59.25925925925925,100.0,0,1,1
Mickey Doyle,1.0,6,0,64.0,100.0,0,1,0
Count Dracula,1.0,6,0,60.86956521739131,100.0,0,1,1
Don Draper,1.0,5,0,63.63636363636363,100.0,0,1,1
Mr. Dryden,1.0,5,0,54.54545454545454,100.0,0,1,0
King Duncan,1.0,5,0,58.33333333333333,100.0,0,1,1
Elvis Gratton,1.0,6,0,61.53846153846154,100.0,0,1,0
Ertuğrul Bey,1.0,8,0,56.00000000000001,100.0,0,1,1
Burt Fabelman,1.0,5,0,64.0,100.0,0,1,1
Mitzi Fabelman,1.0,7,0,60.0,100.0,0,1,0
Reggie Fabelman,1.0,7,0,64.70588235294117,100.0,0,1,0
Sammy Fabelman,1.0,7,0,64.0,100.0,0,1,1
Don Fanucci,1.0,6,0,58.33333333333333,100.0,0,1,1
Faust,1.0,4,0,61.53846153846154,100.0,0,1,1
Basil Fawlty,1.0,6,0,58.33333333333333,100.0,0,1,1
Beau Felton,1.0,4,0,66.66666666666667,100.0,0,1,1
Frankie Fryer,1.0,6,0,69.23076923076923,100.0,0,1,1
Jay Gatsby,1.0,6,0,57.14285714285714,100.0,0,1,1
Al Giardello,1.0,6,0,59.25925925925925,100.0,0,1,1
Ari Gold,1.0,4,0,58.82352941176471,100.0,0,1,1
Auric Goldfinger,1.0,7,0,64.51612903225806,100.0,0,1,1
Emmanuel Goldstein,1.0,8,0,64.70588235294117,100.0,0,1,0
Alan Grant,1.0,5,0,64.0,100.0,0,1,1
Moe Greene,1.0,5,0,60.0,100.0,0,1,0
Grunkle Stan,1.0,7,0,57.14285714285714,100.0,0,1,0
Logan Hall,1.0,5,0,60.86956521739131,100.0,0,1,1
Lewis Hamilton,1.0,7,0,59.25925925925925,100.0,0,1,1
Hanson Brothers,1.0,6,0,74.07407407407408,100.0,0,1,0
Halime Hatun,1.0,5,0,63.63636363636363,100.0,0,1,0
Hayme Hatun,1.0,6,0,60.86956521739131,100.0,0,1,0
Malhun Hatun,1.0,7,0,58.33333333333333,100.0,0,1,0
Nora Helmer,1.0,4,0,69.56521739130434,100.0,0,1,0
Himura Kenshin,1.0,8,0,64.28571428571428,100.0,0,1,0
Kay Howard,1.0,4,0,66.66666666666667,100.0,1,1,1
Vienna Hyatt,1.0,6,0,59.25925925925925,100.0,1,1,0
İbn-i Arabi,1.0,7,0,58.33333333333333,100.0,0,1,0
Yuko Ichihara,1.0,7,0,56.00000000000001,100.0,0,1,0
Imhotep,1.0,6,0,58.82352941176471,100.0,0,1,0
Lina Inverse,1.0,6,0,63.63636363636363,100.0,0,1,1
Jack D. Ripper,1.0,7,0,56.00000000000001,100.0,0,1,1
Spider Jerusalem,1.0,8,0,62.06896551724138,100.0,0,1,1
Jimmy Five,1.0,5,0,60.86956521739131,100.0,0,1,1
John Traill,1.0,6,0,58.33333333333333,100.0,0,1,0
Jones,1.0,5,0,57.14285714285714,100.0,1,1,0
Indiana Jones,1.0,6,0,64.28571428571428,100.0,0,1,0
Samantha Jones,1.0,4,0,74.07407407407408,100.0,0,1,0
Charles Foster Kane,1.0,9,0,64.70588235294117,100.0,0,1,1
Yasunori Katō,1.0,8,0,56.00000000000001,100.0,0,1,0
Velma Kelly,1.0,4,0,66.66666666666667,100.0,0,1,1
Hassling-Ketling of Elgin,1.0,15,0,56.41025641025641,100.0,0,1,1
Kunta Kinte,1.0,6,0,58.33333333333333,100.0,0,1,0
Andrzej Kmicic,1.0,7,0,59.25925925925925,100.0,0,1,0
Cosmo Kramer,1.0,6,0,58.33333333333333,100.0,0,1,0
Kurama,1.0,4,0,57.14285714285714,100.0,0,1,0
